Device Name,Codename,Support from OEM,Image Type,,,,,,,,,,,,,,,,,,
Huawei P10 Lite,was,✓,A,,,,,,,,,,,,,,,,,,
Huawei P20,eml,✓,A,,,,,,,,,,,,,,,,,,
Huawei P20 Lite,anne,✓,A (A/B when updated to EMUI 9),,,,,,,,,,,,,,,,,,
Huawei P20 Pro,clt,✓,A (A/B when updated to EMUI 9),,,,,,,,,,,,,,,,,,
Huawei Y6 / Y6 Prime (2018),atu,✓,A,,,,,,,,,,,,,,,,,,
Huawei Y9 (2018),n/a,✓,A,,,,,,,,,,,,,,,,,,
Infinix Note 5,x604,✓,A/B,,,,,,,,,,,,,,,,,,
Infinix Zero 6,n/a,✓,A/B,,,,,,,,,,,,,,,,,,
INOI 2 Lite,n/a,✓,A,,,,,,,,,,,,,,,,,,
Itel A32F,f8007,✓ (Go),A,,,,,,,,,,,,,,,,,,
Jinga Start LTE,n/a,✓,A,,,,,,,,,,,,,,,,,,
Koolnee Rainbow,rainbow,✓ (Go),A,,,,,,,,,,,,,,,,,,
Lava Z50,z50,✓ (Go),A,,,,,,,,,,,,,,,,,,
Leagoo M8 Pro,n/a,✓,A,,,,,,,,,,,,,,,,,,
Leagoo M13,n/a,,A/B,,,,,,,,,,,,,,,,,,
Leagoo Power 5,aospex,✓,A,,,,,,,,,,,,,,,,,,
Leagoo T8s,n/a,✓,A,,,,,,,,,,,,,,,,,,
LeEco Le 2,s2,,A,,,,,,,,,,,,,,,,,,
LeEco Le Max 2,x2,,A,,,,,,,,,,,,,,,,,,
LeEco Le Pro 3,zl1,,A,,,,,,,,,,,,,,,,,,
Lenovo K5 Play,L38011,✓,A,,,,,,,,,,,,,,,,,,
Lenovo K6 / K6 Power,karate,,A,,,,,,,,,,,,,,,,,,
Lenovo K8 Note,manning,,A,,,,,,,,,,,,,,,,,,
Lenovo P2,kuntao,,A,,,,,,,,,,,,,,,,,,
Lenovo S5,seoul,✓,A,,,,,,,,,,,,,,,,,,
Lenovo Vibe A Plus,a1010a20,,A,,,,,,,,,,,,,,,,,,
Lenovo Z5,L78011,✓,A/B,,,,,,,,,,,,,,,,,,
Lenovo Z6 Youth Edition,n/a,✓,A/B,,,,,,,,,,,,,,,,,,
LG G7 ThinQ™️,judyln,✓,A/B,,,,,,,,,,,,,,,,,,
LG V30,joan,,A,,,,,,,,,,,,,,,,,,
Meizu 16th,n/a,,A,,,,,,,,,,,,,,,,,,
Meizu 16x,n/a,,A,,,,,,,,,,,,,,,,,,
Meizu M2 Mini,n/a,,A,,,,,,,,,,,,,,,,,,
Meizu Note 9,n/a,,A,,,,,,,,,,,,,,,,,,
Moto E5,nora,✓,A,,,,,,,,,,,,,,,,,,
Moto E5 Plus,hannah,✓,A,,,,,,,,,,,,,,,,,,
Moto G5,cedric,,A,,,,,,,,,,,,,,,,,,
Moto G5 Plus,potter,,A,,,,,,,,,,,,,,,,,,
Moto G5S,montana,,A,,,,,,,,,,,,,,,,,,
Moto G5S Plus,sanders,,A,,,,,,,,,,,,,,,,,,
Moto G6,ali,✓,A,,,,,,,,,,,,,,,,,,
Moto G6 Play,aljeter,✓,A,,,,,,,,,,,,,,,,,,
Moto G6 Plus,evert,✓,A/B,,,,,,,,,,,,,,,,,,
Moto G7 Power,ocean,✓,A/B,,,,,,,,,,,,,,,,,,
Moto G7 Plus,lake,✓,A/B,,,,,,,,,,,,,,,,,,
Moto X4,payton,,A/B,,,,,,,,,,,,,,,,,,
Moto Z,griffin,,A,,,,,,,,,,,,,,,,,,
Moto Z Play,addison,,A,,,,,,,,,,,,,,,,,,
Moto Z2 Force,nash,✓,A/B,,,,,,,,,,,,,,,,,,
Moto Z2 Play,albus,,A,,,,,,,,,,,,,,,,,,
Moto Z3 Play,beckham,✓,A/B,,,,,,,,,,,,,,,,,,
Motorola One,deen,✓,A/B,,,,,,,,,,,,,,,,,,
Motorola One Power,chef,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 1,frt,✓ (Go),A,,,,,,,,,,,,,,,,,,
Nokia 1 Plus,ant,✓ (Go),A,,,,,,,,,,,,,,,,,,
Nokia 2.1 and V,e2m and evw,✓ (Go),A,,,,,,,,,,,,,,,,,,
Nokia 3.1,es2,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 3.1 A and C,eag,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 3.1 Plus,roo,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 3.1 Plus C,rhd,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 3.2,deadpool,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 4.2,panther,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 5.1,co2,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 5.1 Plus (X5),pda,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 6 (2018),pl2,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 6.1 Plus (X6),drg,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 6.2,starlord,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 7,c1n,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 7 Plus,b2n,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 7.1,ctl,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 7.2,daredevil,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 8,nb1,,A/B,,,,,,,,,,,,,,,,,,
Nokia 8 Sirocco,a1n,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 8.1 (X7),pnx,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia 9 PureView,aop,✓,A/B,,,,,,,,,,,,,,,,,,
Nokia X71,tas,✓,A/B,,,,,,,,,,,,,,,,,,
OnePlus 3 and 3T,oneplus3,,A (Support for A/B added since 26.08.2019),,,,,,,,,,,,,,,,,,
OnePlus 5 and 5T,cheeseburger and dumpling,✓,A,,,,,,,,,,,,,,,,,,
OnePlus 6,enchilada,✓,A/B,,,,,,,,,,,,,,,,,,
OnePlus 6T,fajita,✓,A/B,,,,,,,,,,,,,,,,,,
OnePlus 7,guacamoleb,✓,A/B,,,,,,,,,,,,,,,,,,
OnePlus 7 Pro,guacamole,✓,A/B,,,,,,,,,,,,,,,,,,
OnePlus 7T,hotdogb,✓,A/B,,,,,,,,,,,,,,,,,,
OnePlus 7T Pro,hotdog,✓,A/B,,,,,,,,,,,,,,,,,,
Oppo R11 / R11s,r11,✓,A,,,,,,,,,,,,,,,,,,
Oukitel C10,n/a,✓,A,,,,,,,,,,,,,,,,,,
Oukitel C11 Pro,n/a,✓,A,,,,,,,,,,,,,,,,,,
Oukitel K7 Power,n/a,✓,A,,,,,,,,,,,,,,,,,,
Oukitel K8,n/a,✓,A,,,,,,,,,,,,,,,,,,
Prestigio Muze G5 LTE,n/a,,A,,,,,,,,,,,,,,,,,,
Razer Phone,cheryl,✓,A/B,,,,,,,,,,,,,,,,,,
Realme 1,cph1861,✓,A,,,,,,,,,,,,,,,,,,
Realme 2 Pro,rmx1801,✓,A,,,,,,,,,,,,,,,,,,
Realme 3 Pro,rmx1851,✓,A/B,,,,,,,,,,,,,,,,,,
Realme X,rmx1901,✓,A/B,,,,,,,,,,,,,,,,,,
Realme XT,rmx1921,✓,A/B,,,,,,,,,,,,,,,,,,
RED Hydrogen One,n/a,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy A6 Plus (2018),a6plte,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy A7 (2018),a7y18lte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy A8 (Exynos),jackpotlte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy A8 Plus (Exynos),jackpot2lte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy A10 (Exynos),n/a,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy A30 (Exynos),a30dd,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy A40 (Exynos),a40dd,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy A50 (Exynos),a50dd,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy Fold,winner,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy J2 Core,j2corelte,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy J4,j4ltejx,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy J4 Plus,j4primelte,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy J5 (2017),j5y17lte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy J6,j6ltexx,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy J7 (2017),j7y17lte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy Note 8 (Exynos),greatlte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy Note 8 (Snapdragon),greatqlte,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy Note 9 (Exynos),crownlte,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy Note 9 (Snapdragon),crownqlte,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy Note 10 (Exynos),davinci,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy S3 Neo,s3ve3g,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy S6 and S6 Edge,zeroflte and zerolte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy S7 and S7 Edge,herolte and hero2lte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy S8 and S8 Plus (Exynos),dreamlte and dream2lte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy S9 and S9 Plus (Exynos),starlte and star2lte,✓,A (A/B after updated to OneUI2 Q Beta 3),,,,,,,,,,,,,,,,,,
Samsung Galaxy S9 and S9 Plus (Snapdragon),starqlte/chn and star2qlte/chn,✓,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy S10 and S10 Plus (Exynos),beyond1lte and beyond2lte,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy S10 and S10 Plus (Snapdragon),beyond1qlte and beyond2qlte,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy S10e (Exynos),beyond0lte,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy S10e (Snapdragon),beyond0qlte,✓,A/B,,,,,,,,,,,,,,,,,,
Samsung Galaxy Tab A 10.1,gtaxlwifi and gtaxllte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy Tab S3 9.3,gts3lwifi and gts3llte,,A,,,,,,,,,,,,,,,,,,
Samsung Galaxy Tab S4 10.5,gts4lwifi and gts4llte,✓,A,,,,,,,,,,,,,,,,,,
Sharp Aquos S2 / C10,ss2 / sat,✓,A/B,,,,,,,,,,,,,,,,,,
Sharp Aquos S3 / D10,hh1 / hh6 and sd1,✓,A/B,,,,,,,,,,,,,,,,,,
