Manufacture,Device Model,Released Date,Released OS,Current Supported OS,Reference Source,Android One
Motorola,Moto Z(3),2018/08,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/motorola_moto_z3-9283.php,0
Motorola,Moto Z3 Play,2018/06,Android 8.1 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/motorola_moto_z3_play-9003.php,0
Motorola,Moto E5 Cruise,2018/07,Android 8.0 (Oreo),Android 8.0 (Oreo),https://www.gsmarena.com/motorola_moto_e5_cruise-9575.php,0
Motorola,Moto E5 Play Go,2018/08,Android 8.0 (Oreo),Android 8.0 (Oreo),https://www.gsmarena.com/motorola_moto_e5_play_go-9270.php,0
Google,Pixel 3 XL,2018/11,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/google_pixel_3_xl-9257.php,0
Google,Pixel 3,2018/11,Android 9.0 (Pie),Android 9.0 (Pie),https://www.gsmarena.com/google_pixel_3-9256.php,0
Google,Pixel 2 XL,2017/10,Android 8.0 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/google_pixel_2_xl-8720.php,0
Google,Pixel 2,2017/10,Android 8.0 (Oreo),Android 9.0 (Pie),https://www.gsmarena.com/google_pixel_2-8733.php,0
Xiaomi,Xiaomi Mi 1,2011/12,Android 2.3.7 (Gingerbread),Android 4.0 (Ice Cream Sandwich),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-106,0
Xiaomi,Xiaomi Mi 2,2012/10,Android 4.1 (Jelly Bean),Android 4.4.4 (KitKat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-107,0
Xiaomi,Xiaomi Mi 2S,2012/10,Android 4.3.1 (Jelly Bean),Android 4.4.4 (KitKat),https://en.wikipedia.org/wiki/List_of_Android_smartphones#cite_note-108,0
